CASE;LANGUAGE;SC01;GS01_01;GS01_02;GS01_03;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CS01_01;CS01_02;CS01_03;CS01_04;CS01_05;CS01_06;CS01_07;FW01_01;FW01_02;FW01_03;FW01_04;CW01_01;CW01_02;CW01_03;CW01_04;CF01_06;CF02;CF02_06;CF03_01;CF04;CF05_01;CF06;CF06s;SD01;SD02_01;SD03_01;SD04;SD04_09;SD05;SD05_08;SD06;SD07;SD08
131;deu;2;7;7;6;7;6;6;6;6;6;5;6;6;7;5;6;6;6;6;6;5;6;6;4;6;5;;3;2;5;-2;Im Job bin ich sehr gefordert und trage viel Verantwortung. Der Sport ist Ausgleich und soll hauptsächlich Spass machen. Natürlich freu ich mich über gute Ergebnisse, trainiere aber nicht darauf hin. Dafür wäre es notwendig noch mehr Zeit in den Sport zu investieren.... es gibt allerdings noch ein Leben nach Arbeit/Sport und der Tag hat nur 24 Stunden  :-D;1;42;81;6;;4;;9;1;4
132;deu;2;6;6;6;7;6;6;7;6;7;6;7;7;7;6;4;6;6;6;7;6;5;7;3;7;5;;2;1;4;-2;es mir Schwiergikeiten bereitet realistische Ziele zu finden und diese zu setzen.;1;25;80;8;;4;;6;5;1
133;deu;2;5;5;5;5;6;4;6;5;5;5;4;6;4;5;4;5;4;6;6;6;5;6;4;10;2;;10;2;5;-9;;1;26;80;9;BAchelor of Science ;3;;4;2;
134;eng;2;7;7;7;7;7;7;5;7;7;5;6;7;6;5;6;7;7;6;1;6;6;6;7;3;5;;2;1;2;-2;Due to being overworked and traveling schedules, my work-life balance is nonexistent, hence no time as wished for workouts;1;46;81;9;masters;4;;10;1;3
135;deu;2;6;6;6;6;6;6;7;5;7;7;7;7;7;6;5;7;7;6;6;4;5;3;4;6;5;;4;2;5;-2;Im Crossfit nicht immer möglich, weil Pläne täglich variieren. Aber ich nehme nun Personal Training in Anspruch, um mich zu verbessern.;1;37;81;9;Fachhochschule;4;;8;1;4
136;eng;2;6;6;6;4;5;6;3;6;7;5;6;7;6;7;5;6;7;5;7;4;3;7;4;6;6;Overall athleticism (explosiveness, jumping, calisthenics, etc);11;2;6;-2;Whenever I set goals that I'm ambitious about I go for them. Otherwise I just add components to my practice sessions instead of modifying them entirely.;2;25;81;8;;4;;6;5;4
137;deu;2;5;6;6;6;7;7;6;7;7;7;7;7;7;-9;5;7;4;7;7;6;6;7;5;7;5;;3;1;6;-9;;2;49;81;8;;6;;-9;5;
138;deu;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;5;4;5;7;1;;2;2;6;-9;;2;25;81;8;;4;;9;5;4
139;deu;2;6;6;6;5;5;5;6;6;6;6;6;7;7;7;7;7;7;6;7;6;6;6;6;5;2;;15;2;7;-2;kein Vorankommen ohne klares Ziel!;1;31;81;8;;4;;9;5;4
140;eng;2;6;6;5;7;7;6;7;7;6;6;6;6;7;6;7;7;6;7;7;7;7;6;6;9;6;Golf and daily exercise;50;1;6;-2;I've been exercising for most of my life, beginning with school and a military career.;2;73;76;8;;4;;10;1;1
