CASE;STARTED;AZ01_01;AZ01_02;AZ01_03;AZ01_04;AZ01_05;AZ01_06;AZ01_07;AZ01_08;AZ01_09;AZ01_10;AZ01_11;AZ01_12;AZ01_13;AZ01_14;AZ01_15;AZ02_01;AZ03_01;AZ04_01;AZ05_01;AZ05_02;AZ05_03;AZ05_04;AZ05_05;AZ05_06;AZ06_01;AZ06_02;AZ07_01;KQ01_01;KQ01_02;KQ01_03;KQ01_04;KQ01_05;KQ01_06;KQ01_07;KQ01_08;FQ01_01;FQ01_02;FQ01_03;FQ01_04;FQ01_05;FQ01_06;FQ01_07;FQ01_08;FQ01_09;FQ01_10;FQ01_11;FQ01_12;FQ01_13;FQ01_14;FQ01_15;FQ01_16;BK01_01;BK02_01;BK03_01;BK03_02;BK03_03;BK03_04;WL01_01;WL01_02;WL01_03;WL01_04;WL01_05;GE02_01;GE03_01;GE03_02;GE03_03;SD01;SD03_01;SD03_02;SD04;SD05_01
944;07.08.2018 16:38;4;2;2;4;3;3;1;2;2;2;2;5;5;5;2;5;1;3;5;4;4;4;4;4;3;4;3;5;4;5;4;4;4;4;3;5;4;4;4;4;4;5;5;4;4;4;4;4;5;5;5;4;3;3;3;3;4;4;2;4;2;3;3;4;4;4;2;8;11;21;55
947;07.08.2018 16:40;2;5;3;2;1;2;5;4;4;5;4;3;2;2;3;2;4;1;2;1;3;2;1;1;2;1;2;5;3;3;2;3;3;2;3;3;2;3;2;2;2;3;2;2;2;1;2;1;1;2;2;3;3;2;2;1;2;4;2;4;5;5;4;3;3;3;1;;30;5;57
948;07.08.2018 16:44;5;1;1;4;2;5;1;1;1;1;3;4;2;5;1;4;1;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;4;5;4;4;5;5;5;5;5;5;5;4;5;5;4;3;5;2;4;4;2;2;5;1;3;1;5;6;5;1;5;5;5;2;5;33;21;57
949;07.08.2018 16:44;2;4;3;2;2;1;1;3;3;3;4;2;2;2;3;2;4;2;2;2;3;2;2;2;1;NA;2;2;3;3;2;2;2;2;3;1;2;3;2;3;2;4;4;2;3;2;2;2;2;2;2;2;2;4;4;2;4;3;2;3;3;3;2;3;3;3;2;;6;21;53
956;07.08.2018 16:49;5;1;1;5;4;2;4;3;3;4;2;4;4;2;2;4;3;3;2;2;3;3;4;4;2;4;4;4;4;5;3;4;3;4;4;4;4;4;3;4;3;4;4;3;4;3;4;4;3;3;3;4;3;4;3;3;2;3;2;4;3;5;3;4;3;3;2;;36;21;56
958;07.08.2018 16:55;3;2;1;3;3;3;3;2;3;3;3;5;3;5;5;4;3;3;2;2;3;2;4;4;2;3;3;5;4;4;5;4;4;5;5;5;4;4;5;5;5;4;5;4;4;4;4;4;4;4;4;4;2;4;2;3;1;3;3;3;2;3;1;5;5;5;2;;5;21;41
965;07.08.2018 17:17;4;3;3;2;3;2;4;2;2;2;2;4;2;5;2;2;5;3;2;3;4;3;4;5;2;3;4;4;4;5;3;3;4;4;5;5;5;3;4;4;4;4;5;5;5;4;5;4;5;5;4;3;3;4;4;2;2;5;2;5;6;5;1;5;5;5;1;9;1;6;39
993;07.08.2018 19:21;4;2;4;4;4;4;2;2;2;3;5;3;4;3;4;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;4;4;4;4;2;2;3;2;5;2;5;5;5;4;4;3;4;2;;5;15;35
997;07.08.2018 19:25;4;1;4;1;5;5;1;2;1;1;5;3;1;5;4;4;5;5;5;5;5;5;2;2;4;5;5;4;4;4;5;3;4;4;5;3;3;4;4;4;2;4;2;3;3;1;3;3;1;1;1;4;4;2;2;5;2;6;3;4;6;6;1;4;5;5;1;2;1;21;17
1006;07.08.2018 19:53;4;3;4;4;4;4;4;4;5;5;4;3;3;2;4;4;5;3;4;4;1;2;4;4;2;2;3;4;4;3;2;4;3;4;3;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;5;5;4;3;4;4;4;4;4;5;4;2;2;1;11;39;14;56
1009;07.08.2018 19:59;2;4;4;3;2;2;5;4;3;3;4;2;2;1;4;2;3;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;4;4;2;4;2;2;2;2;2;4;2;2;2;2;;2;8;27
1011;07.08.2018 20:04;1;5;3;3;2;2;1;3;4;4;5;4;NA;2;3;2;5;2;2;2;1;3;3;3;2;3;4;3;3;3;3;3;4;4;4;3;3;4;3;4;4;5;4;3;4;4;4;3;2;3;2;2;3;3;2;3;2;1;5;2;3;2;5;4;2;2;2;6;0;8;37
1013;07.08.2018 20:11;4;2;2;3;5;3;3;3;4;3;2;4;4;4;2;4;3;5;2;3;3;3;3;3;3;4;4;3;3;4;NA;3;4;3;4;3;3;3;4;4;4;4;4;3;3;3;4;3;3;3;3;4;3;3;3;4;2;4;2;5;2;5;2;4;4;4;1;;5;21;50
1023;07.08.2018 20:29;4;1;2;4;4;4;5;4;4;4;3;4;5;3;1;4;5;5;5;5;2;5;1;1;5;5;5;4;4;2;4;5;5;5;5;3;4;4;4;2;2;5;5;2;5;4;2;2;1;2;2;3;3;5;4;3;3;2;2;2;2;2;2;2;5;5;2;;36;21;61
1025;07.08.2018 20:38;1;1;3;1;1;1;4;5;5;5;5;2;1;1;1;1;5;2;1;1;1;1;4;4;1;2;5;5;3;5;3;3;3;2;5;4;5;5;5;5;5;4;5;5;5;3;2;5;5;5;5;5;5;4;2;3;1;4;2;3;3;1;5;1;1;1;2;;3;NA;38
1029;07.08.2018 20:45;5;1;1;4;4;4;1;2;2;4;2;5;3;2;1;4;3;4;5;5;4;4;5;5;4;4;4;5;4;5;4;4;5;5;5;4;4;4;4;4;4;5;4;5;5;5;5;4;5;5;5;5;5;2;2;5;1;5;1;6;5;5;1;5;5;5;2;;4;9;52
1031;07.08.2018 20:46;5;1;1;5;5;2;2;NA;3;1;1;5;2;5;4;4;4;4;4;3;5;5;1;1;1;3;4;5;2;5;4;3;3;4;5;3;3;4;4;5;5;5;5;5;5;5;3;5;5;5;5;5;5;1;2;5;1;5;1;6;5;6;5;2;2;2;2;;3;8;41
1042;07.08.2018 21:32;4;1;1;4;4;3;1;3;4;2;1;5;4;3;1;4;1;5;4;4;3;4;3;3;4;4;4;4;4;4;3;2;3;4;3;2;3;3;4;4;4;5;5;1;5;4;5;4;3;4;5;5;4;1;1;4;3;5;2;5;4;5;3;4;4;4;1;0;35;21;63
1044;07.08.2018 21:35;2;2;4;3;3;3;3;3;4;3;3;4;3;2;2;4;4;3;3;3;3;4;2;2;3;3;4;3;3;3;3;3;3;3;3;3;2;3;3;4;3;3;4;3;3;3;3;3;2;3;3;4;3;3;2;4;2;4;2;4;6;6;4;4;3;3;1;11;37;8;59
1052;07.08.2018 21:48;4;1;3;4;5;3;5;2;3;4;3;5;5;5;1;4;3;4;4;3;4;5;5;4;3;5;5;4;4;4;4;3;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;3;4;2;2;4;3;4;2;6;6;6;4;2;2;1;2;6;18;21;59
1060;07.08.2018 21:54;4;1;1;5;5;5;1;3;4;2;2;5;3;5;2;4;1;5;5;5;5;5;5;5;3;5;5;3;3;5;4;4;5;4;5;5;4;4;5;5;5;4;5;3;4;4;5;4;5;5;5;5;4;2;2;5;2;5;2;5;5;5;2;5;5;5;2;1;2;8;33
1077;07.08.2018 22:04;3;2;3;3;3;3;5;4;5;5;5;5;5;5;3;5;3;3;3;3;3;3;1;1;3;3;3;3;5;2;2;3;3;5;3;2;2;3;2;3;2;5;5;3;3;3;3;2;2;3;1;2;2;2;4;3;3;3;2;4;4;5;1;2;3;3;2;;18;5;42
1078;07.08.2018 22:06;4;2;2;3;4;4;3;3;3;3;3;4;3;3;2;4;3;3;4;4;3;4;4;4;4;4;3;4;3;4;3;3;5;5;5;4;5;3;4;3;4;5;5;4;4;3;3;3;3;3;2;3;3;3;3;3;3;5;4;4;4;4;2;5;5;5;2;;7;21;46
1084;07.08.2018 22:10;2;4;2;5;4;3;3;3;3;4;3;2;4;3;3;4;3;4;3;3;2;4;2;4;4;2;4;4;4;3;3;4;4;4;5;3;4;3;4;3;4;2;5;2;3;3;5;5;1;4;4;3;4;2;1;3;3;2;2;4;4;4;4;3;3;3;1;;2;19;22
1090;07.08.2018 22:19;3;4;5;2;1;2;5;5;5;5;5;2;1;2;5;1;5;1;1;1;3;1;2;1;1;2;2;2;3;2;3;1;2;3;2;1;2;3;3;2;2;4;3;2;3;3;3;2;1;1;2;2;3;5;4;4;2;3;3;2;3;3;3;5;4;4;2;10;20;9;51
1093;07.08.2018 22:24;4;1;1;4;4;5;1;2;3;2;2;4;5;5;1;4;2;3;4;4;4;4;4;5;4;5;5;5;4;5;4;4;4;5;5;4;3;5;5;5;4;5;5;4;NA;4;5;4;4;4;4;4;4;3;3;4;1;3;2;4;4;3;3;1;3;2;2;;1;8;53
1107;07.08.2018 22:51;2;4;3;4;3;2;3;4;NA;4;3;4;4;2;3;4;4;2;3;2;3;4;2;3;2;4;2;3;2;4;2;3;4;3;4;4;4;5;4;3;4;4;NA;3;4;3;3;2;3;3;3;4;3;3;2;4;3;4;3;3;3;2;4;2;NA;2;1;;41;21;62
1115;07.08.2018 23:27;2;2;4;2;5;4;2;5;5;5;2;3;1;2;3;2;5;2;2;1;1;3;2;4;1;2;3;4;4;5;3;3;4;2;4;5;5;4;3;4;3;5;5;2;3;4;2;5;2;3;4;2;4;3;2;3;3;1;2;5;5;1;4;2;2;4;2;6;0;8;28
1123;08.08.2018 00:11;4;2;3;3;4;1;2;3;1;4;3;4;3;4;3;3;4;1;3;3;4;2;2;2;2;4;4;2;2;3;2;2;2;3;3;3;4;2;3;4;4;5;4;4;4;3;2;2;3;4;4;3;3;4;3;3;3;5;1;6;6;6;4;2;3;2;2;;5;21;62
1126;08.08.2018 02:04;1;1;1;1;1;3;5;2;5;5;5;2;1;1;5;1;5;1;1;1;1;1;1;3;1;1;1;2;3;2;3;3;4;2;2;2;2;2;2;2;2;3;3;1;1;2;3;2;2;2;2;1;1;5;5;1;2;2;1;1;1;1;2;3;1;3;2;;5;21;58
1130;08.08.2018 05:50;5;2;1;4;4;2;3;4;4;4;3;4;3;4;2;4;2;4;3;2;4;4;4;4;2;4;4;4;4;5;4;3;4;5;5;3;4;2;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;2;3;4;3;6;1;5;5;5;4;4;4;4;2;8;3;5;26
1148;08.08.2018 07:40;2;5;3;2;2;1;2;3;3;3;2;1;1;2;2;2;4;4;2;2;3;2;2;2;1;2;4;2;1;5;3;2;3;3;5;3;4;2;3;4;4;4;4;2;2;3;3;3;2;4;3;1;2;3;3;1;3;4;2;4;4;4;4;1;1;1;2;4;3;10;46
1167;08.08.2018 09:42;5;1;1;5;1;4;5;1;1;1;1;3;1;2;4;3;1;5;4;4;4;3;3;3;3;4;4;3;2;3;4;3;2;3;1;4;2;3;3;4;4;5;4;3;4;2;3;3;3;4;4;4;5;4;2;4;2;6;1;6;6;5;2;4;4;5;2;9;2;21;61
1174;08.08.2018 11:02;1;1;1;5;2;2;3;2;2;3;2;2;3;2;3;4;3;4;3;3;4;2;3;3;1;4;3;4;4;5;4;4;4;4;4;5;4;5;5;5;5;3;5;2;3;4;4;3;5;5;5;5;4;3;2;4;2;4;1;4;4;4;4;3;2;2;2;5;3;15;34
1180;08.08.2018 11:13;1;1;5;1;1;1;5;2;1;1;5;1;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;2;4;6;4;5;1;1;3;1;;33;21;55
1186;08.08.2018 12:15;2;5;3;3;3;1;2;5;5;5;5;3;1;3;5;2;5;1;1;1;1;1;5;5;1;1;1;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;4;3;4;4;4;4;5;5;5;2;3;5;3;1;2;6;1;4;4;3;5;1;1;1;2;5;2;21;33
1192;08.08.2018 12:47;5;2;2;4;2;1;1;1;3;1;1;5;4;3;1;4;3;3;4;5;5;5;3;5;3;4;5;5;4;5;4;3;4;4;4;5;5;5;5;5;5;5;5;5;5;4;5;3;4;5;5;4;3;3;2;5;1;2;3;3;3;3;1;3;5;5;1;3;10;21;37
1199;08.08.2018 13:56;1;5;5;1;1;1;5;5;5;5;5;1;1;5;5;1;5;3;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;1;1;1;3;1;1;3;1;1;5;5;1;5;1;6;1;1;1;3;1;2;1;2;;7;14;38
1205;08.08.2018 15:07;3;3;2;1;5;1;3;5;5;5;5;2;1;4;2;2;5;5;3;1;5;5;2;1;1;2;2;2;1;1;2;1;4;1;2;2;2;3;2;1;2;2;1;2;1;1;2;1;5;NA;2;1;2;5;5;1;4;4;3;6;5;5;5;1;1;2;2;6;3;8;28
1219;08.08.2018 17:51;5;1;1;5;5;3;4;2;4;4;2;4;2;2;4;5;2;4;4;4;3;4;5;5;2;4;5;5;3;4;4;2;5;5;5;4;4;3;3;4;4;1;5;3;4;5;5;5;4;4;5;5;3;4;2;5;1;3;3;5;3;3;4;2;2;2;2;4;1;8;47
1225;08.08.2018 18:24;4;2;4;2;1;1;5;2;5;1;3;3;2;4;4;2;5;2;2;1;4;1;2;2;2;1;1;3;3;3;3;2;2;3;5;2;1;4;4;4;3;3;5;1;2;3;3;3;2;3;4;3;5;2;2;4;3;5;1;5;5;5;4;4;2;2;2;;15;5;52
1230;08.08.2018 19:15;5;1;1;5;4;2;3;1;3;3;3;4;5;3;2;5;3;5;3;2;4;3;5;5;2;5;5;5;4;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;1;3;5;3;5;3;4;2;2;2;2;;4;5;28
1245;08.08.2018 21:37;5;1;1;5;3;5;1;1;1;1;1;1;1;1;1;4;4;5;4;4;4;4;4;4;1;NA;4;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;5;5;5;1;5;5;6;2;6;5;5;1;5;5;5;1;;7;21;70
1248;08.08.2018 21:55;3;4;4;NA;3;3;3;4;3;3;3;3;3;4;2;4;4;4;2;2;4;2;4;4;2;4;2;5;4;4;4;5;4;4;5;4;4;4;4;4;NA;4;4;4;5;4;4;5;4;4;2;3;3;2;4;3;4;4;4;3;3;4;4;3;3;3;2;;22;21;50
1250;08.08.2018 22:10;4;1;1;4;3;4;3;5;5;5;2;5;3;1;3;4;5;1;5;5;1;4;3;4;2;4;4;5;4;5;4;4;5;5;4;5;5;4;4;5;4;5;5;4;5;4;4;3;3;4;5;4;4;5;2;3;2;5;1;3;5;5;5;1;1;1;2;;10;8;50
1256;08.08.2018 22:39;4;2;2;3;2;4;4;2;3;2;3;4;3;3;1;4;2;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;5;4;4;5;4;5;4;5;5;4;5;4;5;4;3;3;4;4;3;2;2;4;1;5;2;5;5;5;1;5;5;5;1;1;19;21;53
1263;08.08.2018 23:27;4;2;1;4;5;1;2;4;5;4;3;5;5;5;3;4;4;2;3;4;4;3;4;5;3;4;4;5;4;5;5;5;4;5;5;5;5;4;4;5;4;4;5;4;5;5;5;4;5;5;5;5;4;2;2;5;5;2;3;3;2;2;3;3;3;2;2;;18;8;55
1275;09.08.2018 07:19;4;3;2;2;4;5;5;5;5;5;5;4;3;2;3;3;5;4;4;4;2;4;2;3;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;5;3;4;5;4;5;4;4;2;1;2;2;4;3;3;2;4;2;2;2;2;2;2;2;3;4;5;1;;40;5;56
1280;09.08.2018 09:01;5;1;1;4;5;1;1;3;2;3;1;4;3;5;1;5;2;4;4;4;4;3;2;3;1;4;4;4;4;4;3;2;3;4;5;4;3;4;3;3;4;5;5;5;2;3;2;2;5;5;5;5;4;1;1;5;3;6;3;6;6;6;1;3;5;3;2;;18;9;50
1283;09.08.2018 11:26;5;2;1;5;4;4;1;4;3;3;1;5;5;4;1;5;2;5;4;4;3;5;2;2;4;4;4;3;3;2;4;3;2;3;2;4;4;2;3;4;3;5;5;2;4;2;1;2;1;2;1;3;2;5;5;2;4;2;5;2;4;2;3;4;4;4;1;;35;14;63
1292;09.08.2018 14:32;4;1;1;3;4;4;1;3;5;3;1;3;3;3;3;4;3;4;3;4;3;3;4;3;3;3;4;5;2;4;4;4;4;NA;3;3;3;4;3;NA;NA;4;4;3;2;3;4;4;5;4;3;5;4;3;3;4;3;5;2;4;3;5;2;5;4;5;2;12;1;21;26
1317;10.08.2018 11:05;2;5;3;4;3;2;1;4;5;5;5;5;1;3;1;3;5;1;1;1;3;3;1;1;1;4;4;3;3;4;2;2;2;4;5;3;4;3;3;4;4;5;5;4;3;3;2;4;3;4;4;1;1;5;5;2;5;2;5;2;1;5;5;5;4;5;2;;3;5;50
1318;10.08.2018 11:58;5;1;1;5;4;3;1;1;1;3;1;5;5;5;1;5;1;3;4;4;4;4;4;4;1;5;5;5;4;4;4;4;5;4;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;5;4;2;1;5;1;4;1;4;4;4;4;2;4;3;2;;8;21;55
